,ch1
2558,0
2559,0
2560,0
2561,0
2562,0
2563,4
2564,4
2565,4
2566,4
2567,4
2568,4
2569,4
2570,4
2571,4
2572,4
2573,4
2574,4
2575,4
2576,4
2577,4
2578,10
2579,10
2580,10
2581,10
2582,10
2583,10
2584,10
2585,10
2586,10
2587,10
2588,10
2589,10
2590,10
2591,10
2592,14
2593,14
2594,14
2595,14
2596,14
2597,14
2598,14
2599,17
2600,17
2601,17
2602,17
2603,17
2604,17
2605,17
2606,17
2607,21
2608,21
2609,21
2610,21
2611,21
2612,21
2613,21
2614,21
2615,21
2616,27
2617,27
2618,27
2619,27
2620,27
2621,27
2622,27
2623,27
2624,27
2625,27
2626,31
2627,31
2628,31
2629,31
2630,31
2631,32
2632,32
2633,32
2634,32
2635,32
2636,32
2637,32
2638,32
2639,32
2640,36
2641,36
2642,36
2643,36
2644,36
2645,36
2646,36
2647,42
2648,42
2649,42
2650,42
2651,42
2652,42
2653,42
2654,46
2655,42
2656,46
2657,46
2658,46
2659,46
2660,49
2661,49
2662,49
2663,49
2664,49
2665,53
2666,53
2667,53
2668,53
2669,53
2670,53
2671,53
2672,53
2673,59
2674,59
2675,59
2676,59
2677,63
2678,59
2679,63
2680,63
2681,63
2682,64
2683,64
2684,64
2685,64
2686,64
2687,64
2688,68
2689,68
2690,68
2691,68
2692,68
2693,68
2694,74
2695,74
2696,74
2697,74
2698,74
2699,78
2700,78
2701,78
2702,78
2703,81
2704,81
2705,81
2706,81
2707,85
2708,85
2709,85
2710,85
2711,85
2712,85
2713,91
2714,91
2715,91
2716,91
2717,91
2718,95
2719,95
2720,95
2721,95
2722,95
2723,95
2724,96
2725,96
2726,96
2727,96
2728,100
2729,100
2730,100
2731,100
2732,100
2733,100
2734,106
2735,106
2736,106
2737,110
2738,110
2739,110
2740,110
2741,113
2742,113
2743,113
2744,113
2745,117
2746,117
2747,117
2748,117
2749,117
2750,117
2751,123
2752,123
2753,123
2754,123
2755,127
2756,127
2757,127
2758,128
2759,128
2760,128
2761,128
2762,128
2763,132
2764,132
2765,132
2766,138
2767,138
2768,138
2769,138
2770,138
2771,138
2772,142
2773,145
2774,145
2775,145
2776,145
2777,145
2778,145
2779,149
2780,149
2781,149
2782,155
2783,155
2784,155
2785,155
2786,155
2787,159
2788,159
2789,160
2790,160
2791,160
2792,160
2793,160
2794,164
2795,164
2796,164
2797,170
2798,170
2799,170
2800,170
2801,170
2802,174
2803,174
2804,177
2805,177
2806,177
2807,177
2808,181
2809,181
2810,181
2811,187
2812,187
2813,187
2814,187
2815,191
2816,191
2817,191
2818,191
2819,192
2820,192
2821,192
2822,192
2823,192
2824,192
2825,196
2826,196
2827,202
2828,202
2829,202
2830,206
2831,206
2832,206
2833,206
2834,209
2835,209
2836,209
2837,209
2838,213
2839,213
2840,219
2841,213
2842,219
2843,219
2844,223
2845,223
2846,223
2847,224
2848,224
2849,224
2850,224
2851,228
2852,228
2853,234
2854,234
2855,234
2856,234
2857,238
2858,238
2859,238
2860,238
2861,241
2862,241
2863,241
2864,245
2865,245
2866,245
2867,245
2868,251
2869,251
2870,251
2871,251
2872,255
2873,255
2874,256
2875,256
2876,256
2877,256
2878,260
2879,260
2880,260
2881,266
2882,266
2883,266
2884,266
2885,270
2886,270
2887,273
2888,273
2889,277
2890,273
2891,277
2892,277
2893,283
2894,283
2895,283
2896,283
2897,287
2898,287
2899,287
2900,288
2901,288
2902,292
2903,288
2904,292
2905,292
2906,298
2907,298
2908,298
2909,302
2910,302
2911,305
2912,305
2913,305
2914,305
2915,309
2916,309
2917,309
2918,315
2919,315
2920,319
2921,319
2922,319
2923,319
2924,320
2925,320
2926,320
2927,320
2928,324
2929,324
2930,324
2931,324
2932,330
2933,334
2934,334
2935,334
2936,334
2937,337
2938,337
2939,341
2940,341
2941,341
2942,341
2943,347
2944,347
2945,351
2946,351
2947,351
2948,351
2949,352
2950,352
2951,352
2952,356
2953,356
2954,362
2955,362
2956,362
2957,362
2958,366
2959,366
2960,366
2961,369
2962,369
2963,373
2964,373
2965,373
2966,373
2967,379
2968,379
2969,383
2970,383
2971,383
2972,383
2973,384
2974,384
2975,388
2976,388
2977,388
2978,388
2979,394
2980,388
2981,388
2982,394
2983,394
2984,398
2985,398
2986,398
2987,398
2988,401
2989,401
2990,401
2991,401
2992,405
2993,405
2994,405
